ID1	ID2	GRM	KING
s5	s93	-0.0186	0.0000
s5	s94	-0.0072	0.0000
s5	s95	-0.0170	0.0000
s6	s8	0.0672	0.0000
s6	s9	-0.0154	0.0000
s6	s10	-0.0143	0.0000
s6	s13	0.0110	0.0000
s6	s14	-0.0108	0.0000
s6	s16	-0.0825	0.0000
s6	s17	-0.0044	0.0000
s6	s18	0.0666	0.0000
s6	s19	0.0590	0.0000
s6	s20	0.0688	0.0000
s6	s24	0.0604	0.0000
s6	s26	0.0316	0.0000
s6	s27	-0.0229	0.0000
s6	s28	-0.0797	0.0000
s6	s29	0.0710	0.0000
s6	s30	-0.0798	0.0000
s6	s31	0.0638	0.0000
s6	s32	-0.0205	0.0000
s6	s33	-0.0763	0.0000
s6	s34	-0.0791	0.0000
s6	s35	0.0665	0.0000
s6	s36	0.0651	0.0000
s6	s37	0.0624	0.0000
s6	s38	-0.0823	0.0000
s6	s41	0.0660	0.0000
s6	s42	0.3448	0.1445
s6	s43	0.2817	0.1175
s6	s46	0.2550	0.1050
s6	s47	0.0394	0.0000
s6	s48	0.0262	0.0000
s6	s49	-0.0839	0.0000
s6	s50	0.0319	0.0000
s6	s51	0.0168	0.0000
s6	s52	0.0715	0.0000
s6	s53	0.0539	0.0000
s6	s54	-0.0117	0.0000
s6	s55	0.0636	0.0000
s6	s57	0.0435	0.0000
s6	s58	0.0647	0.0000
s6	s59	0.3290	0.1379
s6	s60	0.0661	0.0000
s6	s61	0.6198	0.2490
s6	s64	0.0617	0.0000
s6	s66	0.0671	0.0000
s6	s67	-0.0141	0.0000
s6	s68	-0.0197	0.0000
s6	s69	0.0510	0.0000
s6	s73	-0.0161	0.0000
s6	s74	-0.0825	0.0000
s6	s75	-0.0829	0.0000
s6	s76	-0.0058	0.0000
s6	s77	0.0593	0.0000
s6	s78	0.0641	0.0000
s6	s79	-0.0827	0.0000
s6	s82	0.0670	0.0000
s6	s83	-0.0033	0.0000
s6	s84	-0.0041	0.0000
s6	s85	-0.0033	0.0000
s6	s87	0.0021	0.0000
s6	s91	-0.0796	0.0000
s6	s92	0.2739	0.1172
s6	s93	0.2739	0.1172
s6	s94	-0.0825	0.0000
s6	s95	-0.0141	0.0000
s8	s9	-0.0127	0.0000
s8	s10	0.0490	0.0000
s8	s13	0.0268	0.0000
s8	s14	-0.0104	0.0000
s8	s16	-0.0599	0.0000
s8	s17	0.0105	0.0000
s8	s18	0.0718	0.0000
s8	s19	0.0679	0.0000
s8	s20	0.0733	0.0000
s8	s24	0.0661	0.0000
s8	s26	0.0304	0.0000
s8	s27	-0.0135	0.0000
s8	s28	-0.0870	0.0000
s8	s29	0.0761	0.0000
s8	s30	-0.0587	0.0000
s8	s31	0.0701	0.0000
s8	s32	-0.0144	0.0000
s8	s33	-0.0583	0.0000
s8	s34	-0.0571	0.0000
s8	s35	0.0730	0.0000
s8	s36	0.0715	0.0000
s8	s37	0.5654	0.2513
s8	s38	-0.0922	0.0000
s8	s41	0.0753	0.0000
s8	s42	0.0471	0.0000
s8	s43	0.0480	0.0000
s8	s46	0.0516	0.0000
s8	s47	0.0447	0.0000
s8	s48	0.0310	0.0000
s8	s49	-0.0956	0.0000
s8	s50	0.0337	0.0000
s8	s51	0.0236	0.0000
s8	s52	0.0783	0.0000
s8	s53	0.0690	0.0000
s8	s54	-0.0066	0.0000
s8	s55	0.0714	0.0000
s8	s57	0.0431	0.0000
s8	s58	0.0703	0.0000
s8	s59	0.0494	0.0000
s8	s60	0.0724	0.0000
s8	s61	0.0537	0.0000
s8	s64	0.0740	0.0000
s8	s66	0.0739	0.0000
s8	s67	-0.0131	0.0000
s8	s68	-0.0088	0.0000
s8	s69	0.0581	0.0000
s8	s73	-0.0139	0.0000
s8	s74	-0.0919	0.0000
s8	s75	-0.0930	0.0000
s8	s76	0.0631	0.0000
